Assay Definition

Assay Description:
1L BABY Experiment short count, beginning with run 1L-8
Assay Type: DPM (Single)
Report Name: Standard report
Output Data Path: C:\Packard\Tricarb\Results\Default\LIBRA_short\20250620_1237
Raw Results Path: C:\Packard\Tricarb\Results\Default\LIBRA_short\20250620_1237\20250620_1237.results
Comma-Delimited File Name: C:\Packard\Tricarb\Results\Default\LIBRA_short\20250620_1237\1L_IV_10-3_OV_10-2_SHORT.csv
Assay File Name: C:\Packard\TriCarb\Assays\LIBRA_short.lsa

Additional Data Files Generated with this Protocol:
Standard report
		[Excel]	1L_IV_10-3_OV_10-2_SHORT.csv


Count Conditions

Nuclide: LIBRA UG LLT NM      
   Quench Indicator: tSIE
   External Std Terminator (sec): 0.5 2s%
   Pre-Count Delay (min): 0.00
Quench Set:                   
   Low Energy: 3H-UG-LLT-NM-C
Count Time (min): 2.00
Count Mode: Normal                                          
Assay Count Cycles: 1         Repeat Sample Count: 1        
Number of Vials/Sample: 1     Calculate % Reference: Off                                  


Background Subtract: Off
Low CPM Threshold: Off
2 Sigma % Terminator: Off

Regions         LL       UL
A              0.5      5.0
B              0.5     10.0
C              0.0     18.6


Count Corrections

Static Controller: On         Luminescence Correction: On     GCT: n/a
Colored Samples: Off          Heterogeneity Monitor: Off      PAC: Disabled
Coincidence Time (nsec): 18   Delay Before Burst (nsec): 75   PAC Strength: n/a   Auxiliary Spectrum: n/a


6/20/2025 12:38:28 PM:  Warning: User Has Modified Count Conditions.
S#,SMPL_ID,Bq:1,CPMA,A:2S%,LUM,tSIE,Eff Nuc1 In A,Count Time,DPM1
1,1L-IV_10-3-1,0.351,5.600,27.66,1,309.26,26.62,10,21.040
2,1L-IV_10-3-2,0.335,5.100,29.08,0,294.59,25.36,10,20.113
3,1L-IV_10-3-3,0.470,7.000,23.90,0,288.29,24.82,10,28.208
4,1L-IV_10-3-4,0.342,5.200,28.26,0,294.03,25.31,10,20.547
Missing vial 5.
6,1L-OV_10-2-1,0.294,4.800,30.05,0,317.67,27.24,10,17.624
7,1L-OV_10-2-2,0.311,4.700,29.79,0,292.43,25.17,10,18.672
8,1L-OV_10-2-3,0.764,11.600,18.57,0,293.81,25.29,10,45.869
9,1L-OV_10-2-4,0.330,5.000,28.84,0,293.13,25.23,10,19.817
